Model,ASR(Zh/En),GR,S2TT(En→Zh / Zh→En),SER,SLU
Qwen2audio,"1.58/2.57",98.93,"33.00/43.36",40.38,47.81
TASU,"436/330",4678,"3241/3454",3149,4513
